Split,Test_Size,Test_Accuracy,Test_F1,Test_Precision,Test_Recall,Avg_Hybrid_Score,Avg_MCCBF_Score,Avg_RF_Score
70-30,150,0.9733333333333334,0.9608310302679985,0.9624999999999999,0.9627976190476191,0.7620627410931218,0.6945342364653254,0.9196292518913136
80-20,100,0.97,0.9555047682202854,0.9663690476190476,0.9500811688311689,0.7609395471951913,0.6935352815284821,0.91821616708418
90-10,50,0.94,0.9192495126705653,0.9020833333333333,0.9404761904761906,0.7576649759488554,0.693879691584336,0.9064973061327329
