No,Nama_Menu,Kategori,Kalori,Sumber_Karbohidrat,Deskripsi_Menu,Karbo_List,corpus,Karbo_Clean,Nama_Lower,Deskripsi_Lower,Keyword_Semantik,enhanced_corpus,enhanced_corpus_mccbf,corpus_rf,Prediksi,Benar
471,Perkedel Goreng,vegetarian,250,kentang nasi putih,perkedel goreng renyah disajikan dengan salad sayur segar,"['kentang', 'nasi', 'putih']",perkedel goreng vegetarian kentang nasi putih perkedel goreng renyah disajikan dengan salad sayur segar,"kentang, nasi putih",perkedel goreng,perkedel goreng renyah disajikan dengan salad sayur segar,protein_vegetarian,perkedel goreng cooked,perkedel goreng perkedel goreng renyah disajikan dengan salad sayur segar nasi putih kentang protein_vegetarian,perkedel goreng perkedel goreng renyah disajikan dengan salad sayur segar,ayam,False
491,Tumis Kacang Panjang,vegetarian,190,nasi putih,tumis kacang panjang dengan tempe dan bumbu lengkuas,"['nasi', 'putih']",tumis kacang panjang vegetarian nasi putih tumis kacang panjang dengan tempe dan bumbu lengkuas,nasi putih,tumis kacang panjang,tumis kacang panjang dengan tempe dan bumbu lengkuas,protein_vegetarian,tumis kacang panjang tumis kacang panjang,tumis kacang panjang tumis kacang panjang dengan tempe dan bumbu lengkuas nasi putih protein_vegetarian,tumis kacang panjang tumis kacang panjang dengan tempe dan bumbu lengkuas,ayam,False
417,Thai Coconut Kari Baby Corn,ayam,546,nasi merah,menu thai coconut curry baby corn ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'merah']",thai coconut curry baby corn lainnya nasi merah menu thai coconut curry baby corn ala yellow fit kitchen rendah kalori dan bergizi,nasi merah,thai coconut kari baby corn,menu thai coconut curry baby corn ala yellow fit kitchen rendah kalori dan bergizi,,thai coconut kari baby corn protein_vegetarian flavored,thai coconut kari baby corn menu thai coconut curry baby corn ala yellow fit kitchen rendah kalori dan bergizi nasi merah ,thai coconut kari baby corn menu thai coconut curry baby corn ala yellow fit kitchen rendah kalori dan bergizi,vegetarian,False
402,Thai Coconut Kari Baby Corn,ayam,530,nasi merah,menu thai coconut curry baby corn ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'merah']",thai coconut curry baby corn lainnya nasi merah menu thai coconut curry baby corn ala yellow fit kitchen rendah kalori dan bergizi,nasi merah,thai coconut kari baby corn,menu thai coconut curry baby corn ala yellow fit kitchen rendah kalori dan bergizi,,thai coconut kari baby corn protein_vegetarian flavored,thai coconut kari baby corn menu thai coconut curry baby corn ala yellow fit kitchen rendah kalori dan bergizi nasi merah ,thai coconut kari baby corn menu thai coconut curry baby corn ala yellow fit kitchen rendah kalori dan bergizi,vegetarian,False
474,Capcay Kuah,vegetarian,210,nasi putih,tumis aneka sayuran dengan kuah kaldu jamur,"['nasi', 'putih']",capcay kuah vegetarian nasi putih tumis aneka sayuran dengan kuah kaldu jamur,nasi putih,capcay kuah,tumis aneka sayuran dengan kuah kaldu jamur,protein_vegetarian,capcay kuah capcay kuah,capcay kuah tumis aneka sayuran dengan kuah kaldu jamur nasi putih protein_vegetarian,capcay kuah tumis aneka sayuran dengan kuah kaldu jamur,ayam,False
