Split,RF_Test_Acc,Hybrid_Test_Acc,RF_Test_F1,Hybrid_Test_F1,RF_Test_Precision,Hybrid_Test_Precision,RF_Test_Recall,Hybrid_Test_Recall,Improvement_Acc,Improvement_F1,Improvement_Precision,Improvement_Recall,RF_Overfitting_Gap
70-30,0.9629629629629628,0.9851851851851852,0.9409578338433592,0.9773552734294751,0.9624144900497512,0.9882041405873856,0.9291666666666668,0.96875,0.022222222222222365,0.036397439586115965,0.02578965053763438,0.03958333333333319,0.0538840153050592
80-20,0.9444444444444444,0.9666666666666668,0.9097614157418434,0.9569444444444444,0.9447285353535354,0.9766304347826088,0.896590909090909,0.9420454545454546,0.022222222222222365,0.04718302870260094,0.0319018994290734,0.045454545454545636,0.0857050510996702
90-10,0.9777777777777776,1.0,0.9812865497076024,1.0,0.9891304347826086,1.0,0.975,1.0,0.022222222222222365,0.01871345029239757,0.010869565217391353,0.025000000000000022,0.0115221719684697
